UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
61004;CAJAMARCA;SAN MARCOS;GREGORIO PITA;LA CORTADERA;10.77;120;512.6
61006;CAJAMARCA;SAN MARCOS;JOSE MANUEL QUIROZ;LICLIC;10.77;120;453.6
61007;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;CASERIO EL UÑIGAN CP TINYAYOC;10.77;120;326
61007;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;SANTA ANA (ZAPALLOPAMA);10.77;120;329.6
61001;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;POMABAMBA;10.77;120;236.5
61001;CAJAMARCA;SAN MARCOS;PEDRO GALVEZ;EDELMIRA;10.77;120;377
150809;LIMA;HUAURA;SANTA LEONOR;JUCUL;73;1;118.3
150809;LIMA;HUAURA;SANTA LEONOR;JUCUL;20;5;55.4
150809;LIMA;HUAURA;SANTA LEONOR;PARQUIN;4;1;7
150809;LIMA;HUAURA;SANTA LEONOR;SANTA LEONOR;9;1;8.1
150809;LIMA;HUAURA;SANTA LEONOR;PARQUIN;75;1;206.1
150809;LIMA;HUAURA;SANTA LEONOR;PARQUIN;0;1;6.2
150809;LIMA;HUAURA;SANTA LEONOR;SANTA LEONOR;0;1;6.2
150809;LIMA;HUAURA;SANTA LEONOR;PICOY;0;1;69
150809;LIMA;HUAURA;SANTA LEONOR;PICOY;3;1;6.8
150809;LIMA;HUAURA;SANTA LEONOR;PICOY;0;1;30.1
150809;LIMA;HUAURA;SANTA LEONOR;PICOY;17;1;10
150906;LIMA;OYON;PACHANGARA;HUANCAHUASI;1;1;6.4
150906;LIMA;OYON;PACHANGARA;HUANCAHUASI;15;1;9.3
150809;LIMA;HUAURA;SANTA LEONOR;CHIUCHIN;31;1;21.5
150809;LIMA;HUAURA;SANTA LEONOR;CHIUCHIN;66;1;82
150809;LIMA;HUAURA;SANTA LEONOR;CHIUCHIN;46;1;35.7
150809;LIMA;HUAURA;SANTA LEONOR;MAYOBAMBA;0;1;128.3
150809;LIMA;HUAURA;SANTA LEONOR;MAYOBAMBA;17;1;9.8
150809;LIMA;HUAURA;SANTA LEONOR;MARAYNIYOC;93;1;80
150902;LIMA;OYON;ANDAJES;SAN BENITO DE CARAZ;1;1;6.2
150902;LIMA;OYON;ANDAJES;SAN BENITO DE CARAZ;0;1;6.2
150809;LIMA;HUAURA;SANTA LEONOR;PICOY;105;1;98.5
150804;LIMA;HUAURA;CHECRAS;CHACRAS DE MARAY;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;TULPAY;12;1;8.7
150804;LIMA;HUAURA;CHECRAS;TULPAY;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;PUÑON;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;PUÑON;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;PUÑON;3;1;6.8
150804;LIMA;HUAURA;CHECRAS;LAGSAURA;11;1;8.5
150804;LIMA;HUAURA;CHECRAS;LAGSAURA;1;1;22.8
150902;LIMA;OYON;ANDAJES;ANDAJES;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;TONGOS;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;TONGOS;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;TONGOS;16;1;9.6
